source_dataset,clip_id,audioset_segment_sec,original_category,danger_label,esc50_fold,caption
ESC-50,1-155858-B-25.wav,,footsteps,0,1,someone is walking on a hard surface and shoes are moving across the floor
ESC-50,1-155858-C-25.wav,,footsteps,0,1,a person is walking on a hard surface
ESC-50,1-155858-D-25.wav,,footsteps,0,1,a person is walking on a hard surface
ESC-50,1-155858-E-25.wav,,footsteps,0,1,a person is walking on a hard surface
ESC-50,1-155858-F-25.wav,,footsteps,0,1,someone is walking on a hard surface with shoes
ESC-50,1-15689-A-4.wav,,frog,0,1,frogs are croaking in the background with one bird in the foreground
ESC-50,1-15689-B-4.wav,,frog,0,1,frogs are croaking in the background
ESC-50,1-160563-A-48.wav,,fireworks,0,1,fireworks are exploding in the distance and then a gun is fired
ESC-50,1-160563-B-48.wav,,fireworks,0,1,fireworks are going off in the distance
ESC-50,1-16568-A-3.wav,,cow,0,1,several cows are mooing in the distance
ESC-50,1-16746-A-15.wav,,water_drops,0,1,water is dripping from a faucet into a tub
ESC-50,1-17092-A-27.wav,,brushing_teeth,0,1,someone is brushing their teeth with a toothbrush
ESC-50,1-17092-B-27.wav,,brushing_teeth,0,1,someone is brushing their teeth with their mouth open
ESC-50,1-17124-A-43.wav,,car_horn,1,1,a car horn honks repeatedly and then gets louder as time goes on
ESC-50,1-17150-A-12.wav,,crackling_fire,0,1,a fire is crackling and popping as it burns
ESC-50,1-172649-A-40.wav,,helicopter,0,1,an airplane is flying overhead while a helicopter is in the background
ESC-50,1-172649-B-40.wav,,helicopter,0,1,an airplane is flying overhead while a helicopter is in the background
ESC-50,1-172649-C-40.wav,,helicopter,0,1,a helicopter is flying overhead with an airplane propeller is in the background
ESC-50,1-172649-D-40.wav,,helicopter,0,1,a helicopter is flying overhead and a plane flies over the sky
ESC-50,1-172649-E-40.wav,,helicopter,0,1,a helicopter is flying overhead and a plane flies over the sky
ESC-50,1-172649-F-40.wav,,helicopter,0,1,a helicopter is flying overhead and a plane flies over the sky
ESC-50,1-17295-A-29.wav,,drinking_sipping,0,1,someone is drinking water from a container to make their mouth open
ESC-50,1-17367-A-10.wav,,rain,0,1,rain is pouring down and thunder is rumbling in the background
ESC-50,1-17565-A-12.wav,,crackling_fire,0,1,a fire crackling and popping as it crackles in the background
ESC-50,1-17585-A-7.wav,,insects,0,1,birds are chirping and bees are buzzing in the background
ESC-50,1-17742-A-12.wav,,crackling_fire,0,1,a fire is crackling and popping as it burns
ESC-50,1-17808-A-12.wav,,crackling_fire,0,1,a fire crackles in the background as a campfire burns
ESC-50,1-17808-B-12.wav,,crackling_fire,0,1,a fire crackles and pops in the distance
ESC-50,1-1791-A-26.wav,,laughing,0,1,a person is laughing and making a lot of noise
ESC-50,1-17970-A-4.wav,,frog,0,1,a frog is croaking and birds are chirping in the background
ESC-50,1-18074-A-6.wav,,hen,0,1,a chicken is clucking and flapping its wings
ESC-50,1-18074-B-6.wav,,hen,0,1,a chicken is clucking and flapping its wings
ESC-50,1-181071-A-40.wav,,helicopter,0,1,a helicopter is flying over the sky as it is ready to take off
ESC-50,1-181071-B-40.wav,,helicopter,0,1,a helicopter is flying overhead and getting closer and farther away
ESC-50,1-18527-A-44.wav,,engine,0,1,an engine is idling and a vehicle drives by
ESC-50,1-18527-B-44.wav,,engine,0,1,a truck is driving on a road with a heavy engine
ESC-50,1-18631-A-23.wav,,breathing,0,1,a person is breathing heavily and steadily in the background
ESC-50,1-18655-A-31.wav,,mouse_click,0,1,a person is clicking a ball against a wall
ESC-50,1-187207-A-20.wav,,crying_baby,1,1,a baby cries and a child speaks and a woman laughs
ESC-50,1-18755-A-4.wav,,frog,0,1,frogs are croaking and ducks are quacking in the background
ESC-50,1-18755-B-4.wav,,frog,0,1,a frog is croaking and frogs croak in the night
ESC-50,1-18757-A-4.wav,,frog,0,1,frogs are croaking and other animals are making noises
ESC-50,1-18810-A-49.wav,,hand_saw,0,1,a person is using a piece of wood
ESC-50,1-19026-A-43.wav,,car_horn,1,1,a car horn is being blown over and over again
ESC-50,1-19111-A-24.wav,,coughing,1,1,a man coughs and then laughs and then starts coughing again
ESC-50,1-19118-A-24.wav,,coughing,1,1,a person is coughing then coughs again and again
ESC-50,1-19501-A-7.wav,,insects,0,1,a bee is buzzing around and birds are chirping in the background
ESC-50,1-196660-A-8.wav,,sheep,0,1,a sheep bleats loudly and a cow moos in the background
ESC-50,1-196660-B-8.wav,,sheep,0,1,a sheep bleats loudly in the background
ESC-50,1-19840-A-36.wav,,vacuum_cleaner,0,1,a machine is running at a constant speed and steady
ESC-50,1-19872-A-36.wav,,vacuum_cleaner,0,1,a vacuum cleaner is being used in the background
ESC-50,1-19872-B-36.wav,,vacuum_cleaner,0,1,a vacuum cleaner is running at a constant speed
ESC-50,1-19898-A-41.wav,,chainsaw,1,1,a chainsaw is revved up and then started again
ESC-50,1-19898-B-41.wav,,chainsaw,1,1,a chainsaw is cutting through a piece of wood
ESC-50,1-19898-C-41.wav,,chainsaw,1,1,a chainsaw is cutting through a piece of wood
ESC-50,1-20133-A-39.wav,,glass_breaking,1,1,glass bottles are being thrown into a pile of pieces
ESC-50,1-202111-A-3.wav,,cow,0,1,a cow is mooing in the foreground with other birds chirping in the background
ESC-50,1-20545-A-28.wav,,snoring,0,1,a person is snoring very loudly and slowly
ESC-50,1-20736-A-18.wav,,toilet_flush,0,1,a toilet is flushed and water is running
ESC-50,1-208757-A-2.wav,,pig,0,1,a pig is oinking in the background and a man is grunting in the foreground
ESC-50,1-208757-B-2.wav,,pig,0,1,a pig is oinking in the background as a man is speaking
ESC-50,1-208757-C-2.wav,,pig,0,1,a pig is oinking in the background and a man is speaking in the foreground
ESC-50,1-208757-D-2.wav,,pig,0,1,pigs oinking in the background as a pig oinks
ESC-50,1-208757-E-2.wav,,pig,0,1,a pig is oinking in the background and a dog is growling
ESC-50,1-211527-A-20.wav,,crying_baby,1,1,a baby is crying and making noises in the background
ESC-50,1-211527-B-20.wav,,crying_baby,1,1,a baby is crying and laughing with a child speaking in the background
ESC-50,1-211527-C-20.wav,,crying_baby,1,1,a small dog is crying and whining in the background
ESC-50,1-21189-A-10.wav,,rain,0,1,rain is falling down on the roof of a house
ESC-50,1-21421-A-46.wav,,church_bells,0,1,church bells are ringing in the tower
ESC-50,1-21896-A-35.wav,,washing_machine,0,1,a machine is running at a constant speed and then stops
ESC-50,1-21934-A-38.wav,,clock_tick,0,1,a clock is ticking very slowly at a steady pace
ESC-50,1-21935-A-38.wav,,clock_tick,0,1,a clock is ticking very loud and steady
ESC-50,1-223162-A-25.wav,,footsteps,0,1,a person is knocking on a wooden surface at a consistent rate
ESC-50,1-22694-A-20.wav,,crying_baby,1,1,a baby is crying for a dozen seconds
ESC-50,1-22694-B-20.wav,,crying_baby,1,1,a baby is crying and making noises in the background
ESC-50,1-22804-A-46.wav,,church_bells,0,1,church bells are ringing in the tower
ESC-50,1-22882-A-44.wav,,engine,0,1,an engine is idling and then it starts to idle
ESC-50,1-23094-A-15.wav,,water_drops,0,1,water drips into a metal sink and echoes in the background
ESC-50,1-23094-B-15.wav,,water_drops,0,1,water drips from a faucet into a metal container
ESC-50,1-23222-A-19.wav,,thunderstorm,0,1,thunder claps and lightning strike as rain falls in the distance
ESC-50,1-23222-B-19.wav,,thunderstorm,0,1,thunder rolls in the distance and then fades away
ESC-50,1-23706-A-49.wav,,hand_saw,0,1,a saw is cutting through a piece of wood
ESC-50,1-23996-A-35.wav,,washing_machine,0,1,a machine is running at a constant speed
ESC-50,1-23996-B-35.wav,,washing_machine,0,1,a machine is running at a constant speed and volume
ESC-50,1-24074-A-43.wav,,car_horn,1,1,a car horn is honking in the background
ESC-50,1-24076-A-43.wav,,car_horn,1,1,a car horn honks and a vehicle drives by
ESC-50,1-24524-A-19.wav,,thunderstorm,0,1,thunder claps in the distance as rain pours down
ESC-50,1-24524-B-19.wav,,thunderstorm,0,1,thunder rolls in the distance as rain falls
ESC-50,1-24524-C-19.wav,,thunderstorm,0,1,thunder rumbles in the distance as rain falls
ESC-50,1-24796-A-47.wav,,airplane,0,1,an airplane is flying over the sky overhead
ESC-50,1-254507-A-43.wav,,car_horn,1,1,a car horn honks and then a vehicle drives by
ESC-50,1-25777-A-48.wav,,fireworks,0,1,fireworks are going off in the distance
ESC-50,1-25781-A-48.wav,,fireworks,0,1,fireworks are exploding in the sky and the match is lit
ESC-50,1-260640-A-2.wav,,pig,0,1,a pig oinking in the background as a person is grunting in the foreground
ESC-50,1-260640-B-2.wav,,pig,0,1,pigs oinking in the background and a pig oinks
ESC-50,1-260640-C-2.wav,,pig,0,1,a pig oinking in the background as it is snorting and pigs oink
ESC-50,1-26143-A-21.wav,,sneezing,1,1,a person coughs sniffs repeatedly and then sneezes twice
ESC-50,1-26176-A-43.wav,,car_horn,1,1,a car horn honks repeatedly while people talk in the background
ESC-50,1-26177-A-43.wav,,car_horn,1,1,a car horn honks repeatedly while cars drive by in the background
ESC-50,1-26188-A-30.wav,,door_wood_knock,0,1,a person is knocking on a door five times
ESC-50,1-26222-A-10.wav,,rain,0,1,rain is pouring down on the roof of a house
ESC-50,1-26806-A-1.wav,,rooster,0,1,a chicken is crowing and a rooster crows in the distance
ESC-50,1-27165-A-35.wav,,washing_machine,0,1,a machine is running at a constant speed and then it is turned off
ESC-50,1-27166-A-35.wav,,washing_machine,0,1,a saw is being used to cut a piece of wood
ESC-50,1-27403-A-28.wav,,snoring,0,1,a person is snoring loudly and consistently in the background
ESC-50,1-27405-A-28.wav,,snoring,0,1,a person is snoring very loudly and slowly
ESC-50,1-27724-A-1.wav,,rooster,0,1,a chicken is crowing and a bird is chirping in the background
ESC-50,1-28005-A-18.wav,,toilet_flush,0,1,a toilet flushes and water drains and then flushed
ESC-50,1-28135-A-11.wav,,sea_waves,0,1,waves are crashing against the shore and the wind is blowing
ESC-50,1-28135-B-11.wav,,sea_waves,0,1,waves are crashing against the shore and the wind is blowing
ESC-50,1-28808-A-43.wav,,car_horn,1,1,a car horn is honking while traffic horns are blaring in the background
ESC-50,1-29532-A-16.wav,,wind,0,1,a teapot is whistling shrilly as the wind is blowing
ESC-50,1-29561-A-10.wav,,rain,0,1,rain is falling on a tin roof and then it is raining
ESC-50,1-29680-A-21.wav,,sneezing,1,1,a person is grunting and groaning in pain
ESC-50,1-30039-A-26.wav,,laughing,0,1,a group of people are laughing and talking in the background
ESC-50,1-30043-A-26.wav,,laughing,0,1,a group of people are laughing and talking
ESC-50,1-30214-A-18.wav,,toilet_flush,0,1,a toilet is flushed and then the water is turned off
ESC-50,1-30226-A-0.wav,,dog,1,1,a dog is barking and a person is walking on a hard surface
ESC-50,1-30344-A-0.wav,,dog,1,1,a dog is barking loudly at a steady pace
ESC-50,1-30709-A-23.wav,,breathing,0,1,a person is breathing heavily and steadily in the background
ESC-50,1-30709-B-23.wav,,breathing,0,1,a person is breathing heavily in a large room
ESC-50,1-30709-C-23.wav,,breathing,0,1,a person is breathing heavily and steadily in a rhythmic breath
ESC-50,1-30830-A-24.wav,,coughing,1,1,a person coughs five times and then coughing again
ESC-50,1-31251-A-6.wav,,hen,0,1,a chicken is clucking while birds are chirping in the background
ESC-50,1-31251-B-6.wav,,hen,0,1,a chicken is clucking while birds are chirping in the background
ESC-50,1-31482-A-42.wav,,siren,1,1,an alarm is going off while people are talking in the background
ESC-50,1-31482-B-42.wav,,siren,1,1,a siren is blaring while people are talking in the background
ESC-50,1-31748-A-21.wav,,sneezing,1,1,a person sniffs repeatedly and then blows a few times
ESC-50,1-31836-A-4.wav,,frog,0,1,a bird is chirping and a duck is quacking in the background
ESC-50,1-31836-B-4.wav,,frog,0,1,frogs are croaking and insects are chirping in the background
ESC-50,1-32318-A-0.wav,,dog,1,1,a dog is barking and growling at a medium pitch
ESC-50,1-32373-A-35.wav,,washing_machine,0,1,a machine is running at a constant speed
ESC-50,1-32373-B-35.wav,,washing_machine,0,1,a machine is running at a constant speed
ESC-50,1-32579-A-29.wav,,drinking_sipping,0,1,bubbles are being blown into a liquid and then the water is splashed around
ESC-50,1-33658-A-26.wav,,laughing,0,1,a baby is laughing and another person is giggling
ESC-50,1-34094-A-5.wav,,cat,0,1,a cat is meowing and making a loud noise in the background
ESC-50,1-34094-B-5.wav,,cat,0,1,a cat is meowing and making a high pitched noise
ESC-50,1-34119-A-1.wav,,rooster,0,1,a chicken is crowing and a rooster crows
ESC-50,1-34119-B-1.wav,,rooster,0,1,a chicken is crowing and a rooster crows
ESC-50,1-34495-A-14.wav,,chirping_birds,0,1,birds are chirping and singing in the background
ESC-50,1-34497-A-14.wav,,chirping_birds,0,1,birds are chirping in the background while a waterfall is flowing in the distance
ESC-50,1-34853-A-37.wav,,clock_alarm,0,1,an alarm is going off and beeping in the background
ESC-50,1-35687-A-38.wav,,clock_tick,0,1,a clock is ticking very slowly and steadily
ESC-50,1-36164-A-26.wav,,laughing,0,1,a baby is laughing and making a lot of noise
ESC-50,1-36164-B-26.wav,,laughing,0,1,a baby is laughing and a person is giggling
ESC-50,1-36393-A-23.wav,,breathing,0,1,a person is grunting and groaning in pain
ESC-50,1-36397-A-23.wav,,breathing,0,1,a person is breathing heavily and blowing their nose at the same time
ESC-50,1-36400-A-23.wav,,breathing,0,1,a man is grunting and groaning in pain
ESC-50,1-36402-A-23.wav,,breathing,0,1,a person is breathing heavily and loudly in their nose
ESC-50,1-36929-A-47.wav,,airplane,0,1,a boat is moving through the water and the wind is blowing
ESC-50,1-37226-A-29.wav,,drinking_sipping,0,1,a person is breathing heavily into a glass jar
ESC-50,1-38559-A-14.wav,,chirping_birds,0,1,birds are chirping and a bird is singing in the background
ESC-50,1-38560-A-14.wav,,chirping_birds,0,1,birds are chirping and singing in the distance
ESC-50,1-39835-A-9.wav,,crow,0,1,a bird is squawking loudly in the background with other birds chirping in the foreground
ESC-50,1-39835-B-9.wav,,crow,0,1,a bird is squawking loudly in the background with other birds chirping in the foreground
ESC-50,1-39901-A-11.wav,,sea_waves,0,1,water is flowing in a stream and splashing in a pool
ESC-50,1-39901-B-11.wav,,sea_waves,0,1,water is splashing in the ocean waves are crashing against the shore
ESC-50,1-39923-A-1.wav,,rooster,0,1,a chicken is clucking and flapping its wings
ESC-50,1-39937-A-28.wav,,snoring,0,1,a person is snoring very loudly in the background
ESC-50,1-40154-A-46.wav,,church_bells,0,1,church bells are ringing in the tower
ESC-50,1-40621-A-28.wav,,snoring,0,1,a person is snoring very loudly and consistently
ESC-50,1-40730-A-1.wav,,rooster,0,1,a chicken is crowing and clucking while other birds are chirping in the background
ESC-50,1-40967-A-28.wav,,snoring,0,1,a person is breathing heavily in the background
ESC-50,1-41615-A-34.wav,,can_opening,0,1,a person is tapping on a hard surface with a knife
ESC-50,1-4211-A-12.wav,,crackling_fire,0,1,a fire is burning and crackling and popping as it burns
ESC-50,1-42139-A-38.wav,,clock_tick,0,1,a person is tapping on a table with a pencil
ESC-50,1-43382-A-1.wav,,rooster,0,1,a chicken is clucking and flapping its wings
ESC-50,1-43760-A-11.wav,,sea_waves,0,1,water is flowing in a stream and splashing over rocks
ESC-50,1-43764-A-34.wav,,can_opening,0,1,someone is opening and closing a knife with a sharp thumb
ESC-50,1-43807-A-47.wav,,airplane,0,1,an airplane is flying overhead and a helicopter is in the background
ESC-50,1-43807-B-47.wav,,airplane,0,1,an airplane is flying overhead with a propeller in the background
ESC-50,1-43807-C-47.wav,,airplane,0,1,an airplane is flying overhead and a helicopter is in the distance
ESC-50,1-43807-D-47.wav,,airplane,0,1,a plane is flying overhead and getting ready to take off
ESC-50,1-44831-A-1.wav,,rooster,0,1,a chicken is crowing and birds are chirping in the background
ESC-50,1-45641-A-27.wav,,brushing_teeth,0,1,someone is brushing their teeth with a toothbrush
ESC-50,1-45645-A-31.wav,,mouse_click,0,1,a light switch is turned on and off with a clicking noise
ESC-50,1-46040-A-14.wav,,chirping_birds,0,1,birds are chirping and a bird is singing in the background
ESC-50,1-46272-A-12.wav,,crackling_fire,0,1,a fire is burning and crackling as it is raining
ESC-50,1-46274-A-18.wav,,toilet_flush,0,1,a toilet is flushed and water is flushing
ESC-50,1-46353-A-49.wav,,hand_saw,0,1,a saw is cutting through a piece of wood
ESC-50,1-46744-A-36.wav,,vacuum_cleaner,0,1,a machine is running and then it is turned off
ESC-50,1-46938-A-7.wav,,insects,0,1,bees are buzzing loudly in the background
ESC-50,1-46938-B-7.wav,,insects,0,1,a swarm of bees are buzzing around a hive
ESC-50,1-47250-A-41.wav,,chainsaw,1,1,a chainsaw is cutting through a piece of wood
ESC-50,1-47250-B-41.wav,,chainsaw,1,1,a chainsaw is cutting through a piece of wood
ESC-50,1-47273-A-21.wav,,sneezing,1,1,a person coughs sniffs repeatedly and then sneezes twice
ESC-50,1-47274-A-21.wav,,sneezing,1,1,a person is sneezing twice and then blows their nose
ESC-50,1-47709-A-16.wav,,wind,0,1,the wind is blowing very strongly and very hard
ESC-50,1-47714-A-16.wav,,wind,0,1,the wind is blowing very strongly and getting louder
ESC-50,1-47819-A-5.wav,,cat,0,1,a cat is meowing and purring
ESC-50,1-47819-B-5.wav,,cat,0,1,a cat meowing and crying at a steady pace
ESC-50,1-47819-C-5.wav,,cat,0,1,a cat is meowing and crying at a steady pace
ESC-50,1-47923-A-28.wav,,snoring,0,1,a person is snoring very loudly and steadily
ESC-50,1-48298-A-46.wav,,church_bells,0,1,church bells are ringing in a large room
ESC-50,1-48413-A-38.wav,,clock_tick,0,1,a clock is ticking very loud and steady
ESC-50,1-49098-A-35.wav,,washing_machine,0,1,a machine is running and then stops and then starts again
ESC-50,1-49409-A-8.wav,,sheep,0,1,a sheep is bleating and a goat bleats
ESC-50,1-49409-B-8.wav,,sheep,0,1,a sheep is bleating loudly and a goat bleats
ESC-50,1-50060-A-10.wav,,rain,0,1,rain is pouring down on the roof of a house
ESC-50,1-50454-A-44.wav,,engine,0,1,an engine is idling and then it starts up
ESC-50,1-50455-A-44.wav,,engine,0,1,an engine is idling and then it idles and then starts again
ESC-50,1-50623-A-15.wav,,water_drops,0,1,water is dripping from a faucet into a sink
ESC-50,1-50625-A-17.wav,,pouring_water,0,1,water is being poured into a glass jar and then more liquid is being filled with a container
ESC-50,1-50661-A-44.wav,,engine,0,1,a large diesel engine is idling and vibrating
ESC-50,1-50688-A-17.wav,,pouring_water,0,1,water is being poured into a glass jar
ESC-50,1-51035-A-16.wav,,wind,0,1,the wind is blowing and the rain is pouring down
ESC-50,1-51036-A-16.wav,,wind,0,1,the wind is blowing and the rain is pouring down
ESC-50,1-51037-A-16.wav,,wind,0,1,waves are crashing on the shore and the wind is blowing
ESC-50,1-51147-A-25.wav,,footsteps,0,1,a person is typing on a typewriter and the water is dripping into the sink
ESC-50,1-51170-A-18.wav,,toilet_flush,0,1,a toilet flushes and water drains and then the flushing of the tank refills
ESC-50,1-51433-A-17.wav,,pouring_water,0,1,water is being poured into a container that is filled with liquid
ESC-50,1-51436-A-17.wav,,pouring_water,0,1,liquid is poured into a glass jar and then more water is pouring into a container
ESC-50,1-51805-A-33.wav,,door_wood_creaks,0,1,a creaky door is being opened and closed repeatedly
ESC-50,1-51805-B-33.wav,,door_wood_creaks,0,1,a squeaky door is being opened and closed repeatedly
ESC-50,1-51805-C-33.wav,,door_wood_creaks,0,1,a squeaky door is being opened and closed repeatedly
ESC-50,1-51805-D-33.wav,,door_wood_creaks,0,1,a squeaky door is being opened and closed repeatedly
ESC-50,1-51805-E-33.wav,,door_wood_creaks,0,1,a creaky door is being opened and closed repeatedly
ESC-50,1-51805-F-33.wav,,door_wood_creaks,0,1,a creaky door is slowly opened and closed repeatedly
ESC-50,1-51805-G-33.wav,,door_wood_creaks,0,1,a creaky door is slowly opened and closed repeatedly
ESC-50,1-51805-H-33.wav,,door_wood_creaks,0,1,a creaky door is repeatedly opened and closed several times
ESC-50,1-52266-A-24.wav,,coughing,1,1,a person is coughing then coughs five times
ESC-50,1-52290-A-30.wav,,door_wood_knock,0,1,a person is knocking on a door five times
ESC-50,1-52323-A-24.wav,,coughing,1,1,a person coughs five times and then coughing then clearing their throat
ESC-50,1-53444-A-28.wav,,snoring,0,1,a person is snoring very loudly and consistently
ESC-50,1-53467-A-47.wav,,airplane,0,1,an airplane is flying overhead and getting ready to take off
ESC-50,1-53501-A-32.wav,,keyboard_typing,0,1,a person is typing on a keyboard and the computer mouse clicks
ESC-50,1-53663-A-24.wav,,coughing,1,1,a person coughs five times and then coughing again
ESC-50,1-53670-A-18.wav,,toilet_flush,0,1,a toilet is flushed and water is running
ESC-50,1-54065-A-45.wav,,train,0,1,a train is passing by on a railroad track
ESC-50,1-54065-B-45.wav,,train,0,1,a subway train is passing by on the tracks
ESC-50,1-54084-A-42.wav,,siren,1,1,a siren is blaring and a civil defense emergency vehicle is going off
ESC-50,1-54505-A-21.wav,,sneezing,1,1,a person is breathing heavily and then sneezing twice
ESC-50,1-54747-A-46.wav,,church_bells,0,1,church bells are ringing in the tower
ESC-50,1-54752-A-18.wav,,toilet_flush,0,1,a toilet is flushed and then the water is turned on
ESC-50,1-54918-A-14.wav,,chirping_birds,0,1,birds are chirping and singing in the distance
ESC-50,1-54918-B-14.wav,,chirping_birds,0,1,birds are chirping and singing in the distance
ESC-50,1-54958-A-10.wav,,rain,0,1,rain is pouring down on the roof of a house
ESC-50,1-56233-A-9.wav,,crow,0,1,a bird is squawking loudly in the background
ESC-50,1-56234-A-9.wav,,crow,0,1,a crow caws in the background while a bird chirps in the foreground
ESC-50,1-56269-A-18.wav,,toilet_flush,0,1,a toilet is flushed and water is running
ESC-50,1-56270-A-29.wav,,drinking_sipping,0,1,a person is plopping down a bottle with their mouth
ESC-50,1-56311-A-10.wav,,rain,0,1,rain is falling on the roof of a house
ESC-50,1-56380-A-5.wav,,cat,0,1,a cat is meowing and crying at a steady pace
ESC-50,1-56380-B-5.wav,,cat,0,1,a cat is meowing repeatedly and then purring again
ESC-50,1-56907-A-46.wav,,church_bells,0,1,church bells are ringing in the tower
ESC-50,1-57163-A-38.wav,,clock_tick,0,1,a clock is ticking and a pendulum is clicking
ESC-50,1-57316-A-13.wav,,crickets,0,1,a cricket is chirping and a snake is rattling
ESC-50,1-57318-A-13.wav,,crickets,0,1,crickets are chirping in the background and a car drives by
ESC-50,1-57795-A-8.wav,,sheep,0,1,a sheep bleats and a cow moos once in the background
ESC-50,1-58277-A-3.wav,,cow,0,1,a cow is mooing and a man is speaking
ESC-50,1-58792-A-24.wav,,coughing,1,1,a person coughs five times and sneezes twice
ESC-50,1-58846-A-34.wav,,can_opening,0,1,a person is using a shovel to dig into the ground
ESC-50,1-58923-A-27.wav,,brushing_teeth,0,1,someone is brushing their teeth with a toothbrush
ESC-50,1-58923-B-27.wav,,brushing_teeth,0,1,someone is brushing their teeth with a toothbrush
ESC-50,1-59102-A-13.wav,,crickets,0,1,crickets are chirping and insects are making noise in the background
ESC-50,1-59324-A-21.wav,,sneezing,1,1,a person is sneezing twice and then coughs
ESC-50,1-59513-A-0.wav,,dog,1,1,a dog is barking loudly and consistently in the background
ESC-50,1-5996-A-6.wav,,hen,0,1,a chicken is clucking and a rooster is crowing
ESC-50,1-60460-A-36.wav,,vacuum_cleaner,0,1,a vacuum cleaner is running in the background
ESC-50,1-60676-A-34.wav,,can_opening,0,1,a person is using a shovel to dig into the air
ESC-50,1-60997-A-20.wav,,crying_baby,1,1,a baby is crying for a dozen seconds
ESC-50,1-60997-B-20.wav,,crying_baby,1,1,a baby is crying and making a loud noise
ESC-50,1-61212-A-32.wav,,keyboard_typing,0,1,a person is typing on a keyboard and types on a typewriter
ESC-50,1-61221-A-17.wav,,pouring_water,0,1,someone is pouring water into a container of liquid
ESC-50,1-61252-A-11.wav,,sea_waves,0,1,waves crash against the shore and the ocean tide is crashing
ESC-50,1-61261-A-44.wav,,engine,0,1,an engine is idling and revving up and down
ESC-50,1-61534-A-27.wav,,brushing_teeth,0,1,a person is eating with their mouth open
ESC-50,1-62509-A-45.wav,,train,0,1,a train is passing by on a railroad track
ESC-50,1-62565-A-44.wav,,engine,0,1,a motorcycle engine is idling and revving up
